listing_id,availability_rate,available_days,unavailable_days,total_days,min_nights,max_nights,changes
14759535,0.8356164383561644,305,60,365,1.0,1125.0,52
14760180,0.936986301369863,342,23,365,1.0,1125.0,18
14760405,0.8657534246575342,316,49,365,1.0,1125.0,36
14760590,0.9315068493150684,340,25,365,1.0,1125.0,29
14773918,0.24383561643835616,89,276,365,2.265753424657534,1125.0,16
14798705,0.9342465753424658,341,24,365,7.0,1125.0,3
14882067,0.0,0,365,365,3.0,365.0,1
14945227,0.9945205479452055,363,2,365,6.0,1125.0,2
15012598,0.821917808219178,300,65,365,1.0,1125.0,50
15024468,0.8575342465753425,313,52,365,7.0,1125.0,6
15134789,0.9698630136986301,354,11,365,1.0,30.0,7
15336155,0.7753424657534247,283,82,365,1.0,1125.0,22
15350021,0.473972602739726,173,192,365,1.0,1125.0,3
15393020,0.9808219178082191,358,7,365,280.0,298.0,2
15428145,0.726027397260274,265,100,365,1.0,730.0,7
15435852,0.7397260273972602,270,95,365,3.0,1125.0,2
15449679,0.863013698630137,315,50,365,2.0,1125.0,20
15461555,0.9424657534246575,344,21,365,2.9945205479452053,730.0,2
15525190,0.863013698630137,315,50,365,2.0,1125.0,20
15802690,0.9041095890410958,330,35,365,5.619178082191781,1125.0,4
15833438,0.9643835616438357,352,13,365,3.9506849315068493,1125.0,4
15879260,0.7315068493150685,267,98,365,79.0,150.0,3
15913908,0.0,0,365,365,2.0,1125.0,1
15979386,0.7232876712328767,264,101,365,2.0,1125.0,36
16114565,1.0,365,0,365,40.0,1125.0,1
16133169,0.17534246575342466,64,301,365,1.0,7.0,9
16172606,0.08767123287671233,32,333,365,2.287671232876712,60.0,9
16226017,0.9698630136986301,354,11,365,3.0,1125.0,4
16263073,0.684931506849315,250,115,365,3.0,30.0,2
16373844,0.9178082191780822,335,30,365,5.619178082191781,1125.0,2
16374683,0.7315068493150685,267,98,365,1.0,1125.0,4
16529285,0.10136986301369863,37,328,365,2.0,20.0,27
16531283,0.8164383561643835,298,67,365,2.0,1125.0,24
16539465,0.136986301369863,50,315,365,2.0,1125.0,5
16626144,0.7123287671232876,260,105,365,1.0,1125.0,5
16786704,0.36712328767123287,134,231,365,2.0,1125.0,2
16805640,0.7205479452054795,263,102,365,2.0,1125.0,8
16815895,1.0,365,0,365,8.438356164383562,28.0,1
16870187,0.39452054794520547,144,221,365,28.0,85.0,3
16871053,0.4136986301369863,151,214,365,28.0,85.0,5
16879520,0.0,0,365,365,1.2876712328767124,1125.0,1
16888795,0.2493150684931507,91,274,365,1.0,1125.0,29
16903887,0.1863013698630137,68,297,365,1.0,1125.0,17
17189540,0.9643835616438357,352,13,365,14.306849315068494,365.0,2
17261329,1.0,365,0,365,2.7260273972602738,1125.0,1
17281969,0.5917808219178082,216,149,365,1.0,14.0,13
17331417,0.18082191780821918,66,299,365,2.0,1125.0,23
17338840,0.9808219178082191,358,7,365,2.0,50.0,2
17342620,0.3972602739726027,145,220,365,28.0,85.0,3
17389419,0.1780821917808219,65,300,365,1.0,1125.0,19
17431956,0.6657534246575343,243,122,365,1.0,14.0,13
17444033,0.8356164383561644,305,60,365,7.0,365.0,4
17531050,0.0,0,365,365,1.0,1125.0,1
17559809,0.1178082191780822,43,322,365,3.9917808219178084,45.0,13
17598115,0.06575342465753424,24,341,365,3.0,30.0,3
17607360,0.5041095890410959,184,181,365,2.989041095890411,730.0,17
17715530,1.0,365,0,365,15.0,730.0,1
17799147,0.3150684931506849,115,250,365,28.0,85.0,3
17835386,0.9808219178082191,358,7,365,365.0,365.0,2
17921638,0.46301369863013697,169,196,365,1.0,1125.0,9
