listing_id,availability_rate,available_days,unavailable_days,total_days,min_nights,max_nights,changes
18939856,0.9561643835616438,349,16,365,1.0,365.0,20
18943628,0.8027397260273973,293,72,365,3.3589041095890413,365.0,34
19001541,0.9287671232876712,339,26,365,7.0,90.0,4
19025857,0.8301369863013699,303,62,365,1.0,5.0,44
19032019,0.7041095890410959,257,108,365,1.0,4.0,15
19043909,0.6986301369863014,255,110,365,3.0,1125.0,14
19160216,0.7287671232876712,266,99,365,6.0,1125.0,3
19179907,0.0,0,365,365,1.2876712328767124,5.0,1
19222171,0.26575342465753427,97,268,365,30.0,1124.0,3
19224146,0.0,0,365,365,1.0,7.0,1
19309655,0.2465753424657534,90,275,365,10.0,60.0,3
19438226,0.5698630136986301,208,157,365,2.0,1125.0,21
19476170,0.6794520547945205,248,117,365,2.0,1125.0,9
19503512,0.736986301369863,269,96,365,2.0,365.0,3
19517152,0.0,0,365,365,4.0,14.0,1
19618652,0.06301369863013699,23,342,365,1.0,3.0,3
19765675,0.0958904109589041,35,330,365,2.0,1125.0,7
19827105,0.0,0,365,365,1.0,4.0,1
19907560,0.0,0,365,365,1.2876712328767124,4.0,1
19940723,0.0,0,365,365,1.0,1125.0,1
20153374,0.0,0,365,365,2.0,6.0,1
20205033,0.057534246575342465,21,344,365,2.0,1125.0,5
20229106,0.4657534246575342,170,195,365,1.0,30.0,3
20230316,0.4794520547945205,175,190,365,1.0,30.0,5
20259846,0.34794520547945207,127,238,365,1.115068493150685,1125.0,17
20316605,0.1506849315068493,55,310,365,1.0,7.0,5
20415020,0.989041095890411,361,4,365,1.0,1125.0,2
20417413,0.1589041095890411,58,307,365,2.0,1125.0,23
20437428,0.1506849315068493,55,310,365,1.0,2.0,15
20492313,0.1095890410958904,40,325,365,2.1424657534246574,4.0,17
20556549,0.4876712328767123,178,187,365,3.0,1125.0,2
20619258,0.14794520547945206,54,311,365,1.010958904109589,1125.0,23
20630629,0.6109589041095891,223,142,365,1.6082191780821917,1125.0,15
20660032,0.0,0,365,365,5.0,7.0,1
20695815,0.16712328767123288,61,304,365,5.0,1125.0,3
20701453,0.9917808219178083,362,3,365,1.0,15.0,4
20758229,0.0,0,365,365,2.0,10.0,1
20780388,0.8657534246575342,316,49,365,2.0,1125.0,36
20820629,0.7342465753424657,268,97,365,10.0,120.0,3
20823818,0.863013698630137,315,50,365,1.3205479452054794,1125.0,16
20866517,0.46301369863013697,169,196,365,1.0,10.0,3
20878593,0.8493150684931506,310,55,365,2.767123287671233,45.0,18
20880771,0.5589041095890411,204,161,365,14.0,1125.0,3
20882642,0.0,0,365,365,2.0,14.0,1
21061839,0.9863013698630136,360,5,365,2.0,27.0,2
21062359,0.8191780821917808,299,66,365,2.0,90.0,2
21078143,0.4383561643835616,160,205,365,2.0,1125.0,11
21115568,0.7397260273972602,270,95,365,2.0,5.0,2
21115860,0.2410958904109589,88,277,365,2.0,5.0,3
21245658,0.5726027397260274,209,156,365,1.0,14.0,2
21366101,0.0,0,365,365,5.0,730.0,1
21406331,0.0,0,365,365,2.0,1125.0,1
21431303,0.9972602739726028,364,1,365,10.0,28.0,2
21454678,0.8164383561643835,298,67,365,1.347945205479452,25.91780821917808,40
21454949,0.0,0,365,365,1.0,21.0,1
21468397,0.18904109589041096,69,296,365,4.967123287671233,1125.0,7
